UserID,Age,Gender,FashionType,OutfitChoice
2169,41,Female,Glamorous,"Sequin gown, statement earrings, and high heels",
2135,19,Male,Glamorous,"Form-fitting cocktail dress, statement clutch, and stiletto heels",
2202,32,Female,Glamorous,"Sequin gown, statement earrings, and high heels",
2395,69,Male,Glamorous,"Silk slip dress, faux fur coat, and strappy sandals",
2358,53,Female,Glamorous,"Silk slip dress, faux fur coat, and strappy sandals",
2355,54,Female,Glamorous,"Silk slip dress, faux fur coat, and strappy sandals",
2188,51,Male,Glamorous,"Silk slip dress, faux fur coat, and strappy sandals",
2223,32,Male,Glamorous,"Form-fitting cocktail dress, statement clutch, and stiletto heels",
2359,18,Male,Glamorous,"Silk slip dress, faux fur coat, and strappy sandals",
2384,75,Male,Glamorous,"Silk slip dress, faux fur coat, and strappy sandals",
2329,22,Male,Glamorous,"Silk slip dress, faux fur coat, and strappy sandals",
2281,26,Female,Glamorous,"Form-fitting cocktail dress, statement clutch, and stiletto heels",
2282,69,Male,Glamorous,"Silk slip dress, faux fur coat, and strappy sandals",
2164,33,Male,Glamorous,"Form-fitting cocktail dress, statement clutch, and stiletto heels",
2294,42,Female,Glamorous,"Silk slip dress, faux fur coat, and strappy sandals",
2263,18,Female,Glamorous,"Silk slip dress, faux fur coat, and strappy sandals",
2135,20,Male,Glamorous,"Silk slip dress, faux fur coat, and strappy sandals",
2265,73,Male,Glamorous,"Sequin gown, statement earrings, and high heels",
2270,27,Male,Glamorous,"Sequin gown, statement earrings, and high heels",
2179,45,Male,Glamorous,"Silk slip dress, faux fur coat, and strappy sandals",
2301,44,Female,Glamorous,"Silk slip dress, faux fur coat, and strappy sandals",
2249,40,Male,Glamorous,"Form-fitting cocktail dress, statement clutch, and stiletto heels",
2152,74,Male,Glamorous,"Silk slip dress, faux fur coat, and strappy sandals",
2351,24,Male,Glamorous,"Form-fitting cocktail dress, statement clutch, and stiletto heels",
2290,45,Female,Glamorous,"Silk slip dress, faux fur coat, and strappy sandals",
2168,23,Male,Glamorous,"Sequin gown, statement earrings, and high heels",
2137,24,Female,Glamorous,"Sequin gown, statement earrings, and high heels",
2321,22,Female,Glamorous,"Silk slip dress, faux fur coat, and strappy sandals",
2245,34,Male,Glamorous,"Form-fitting cocktail dress, statement clutch, and stiletto heels",
2395,27,Female,Glamorous,"Form-fitting cocktail dress, statement clutch, and stiletto heels",
2253,52,Female,Glamorous,"Sequin gown, statement earrings, and high heels",
2279,28,Male,Glamorous,"Silk slip dress, faux fur coat, and strappy sandals",
2284,41,Female,Glamorous,"Form-fitting cocktail dress, statement clutch, and stiletto heels",
2375,21,Male,Glamorous,"Sequin gown, statement earrings, and high heels",
2190,46,Male,Glamorous,"Form-fitting cocktail dress, statement clutch, and stiletto heels",
2311,32,Female,Glamorous,"Silk slip dress, faux fur coat, and strappy sandals",
2216,74,Female,Glamorous,"Silk slip dress, faux fur coat, and strappy sandals",
2119,23,Female,Glamorous,"Sequin gown, statement earrings, and high heels",
2165,57,Female,Glamorous,"Silk slip dress, faux fur coat, and strappy sandals",
2269,24,Male,Glamorous,"Form-fitting cocktail dress, statement clutch, and stiletto heels",
2128,25,Female,Glamorous,"Silk slip dress, faux fur coat, and strappy sandals",
2120,20,Male,Glamorous,"Sequin gown, statement earrings, and high heels",
2345,19,Female,Glamorous,"Silk slip dress, faux fur coat, and strappy sandals",
2376,27,Male,Glamorous,"Form-fitting cocktail dress, statement clutch, and stiletto heels",
2284,59,Female,Glamorous,"Form-fitting cocktail dress, statement clutch, and stiletto heels",
2302,20,Male,Glamorous,"Form-fitting cocktail dress, statement clutch, and stiletto heels",
2226,35,Male,Glamorous,"Silk slip dress, faux fur coat, and strappy sandals",
2200,20,Female,Glamorous,"Sequin gown, statement earrings, and high heels",
2224,40,Male,Glamorous,"Sequin gown, statement earrings, and high heels",
2115,71,Female,Glamorous,"Silk slip dress, faux fur coat, and strappy sandals",
2271,25,Male,Glamorous,"Form-fitting cocktail dress, statement clutch, and stiletto heels",
2229,22,Female,Glamorous,"Silk slip dress, faux fur coat, and strappy sandals",
2155,24,Male,Glamorous,"Silk slip dress, faux fur coat, and strappy sandals",
2170,54,Male,Glamorous,"Sequin gown, statement earrings, and high heels",
2135,24,Female,Glamorous,"Form-fitting cocktail dress, statement clutch, and stiletto heels",
2303,48,Female,Glamorous,"Form-fitting cocktail dress, statement clutch, and stiletto heels",
2165,28,Female,Glamorous,"Form-fitting cocktail dress, statement clutch, and stiletto heels",
2326,23,Female,Glamorous,"Form-fitting cocktail dress, statement clutch, and stiletto heels",
2223,20,Female,Glamorous,"Silk slip dress, faux fur coat, and strappy sandals",
2287,67,Male,Glamorous,"Form-fitting cocktail dress, statement clutch, and stiletto heels",
2250,24,Male,Glamorous,"Silk slip dress, faux fur coat, and strappy sandals",
2277,55,Female,Glamorous,"Silk slip dress, faux fur coat, and strappy sandals",
2205,32,Female,Glamorous,"Sequin gown, statement earrings, and high heels",
2378,62,Male,Glamorous,"Silk slip dress, faux fur coat, and strappy sandals",
2181,44,Female,Glamorous,"Form-fitting cocktail dress, statement clutch, and stiletto heels",
2185,71,Male,Glamorous,"Form-fitting cocktail dress, statement clutch, and stiletto heels",
2191,68,Female,Glamorous,"Form-fitting cocktail dress, statement clutch, and stiletto heels",
2132,21,Male,Glamorous,"Sequin gown, statement earrings, and high heels",
2330,27,Female,Glamorous,"Sequin gown, statement earrings, and high heels",
2267,21,Female,Glamorous,"Sequin gown, statement earrings, and high heels",
2203,64,Male,Glamorous,"Form-fitting cocktail dress, statement clutch, and stiletto heels",
2212,64,Female,Glamorous,"Sequin gown, statement earrings, and high heels",
2342,23,Male,Glamorous,"Sequin gown, statement earrings, and high heels",
2373,22,Male,Glamorous,"Form-fitting cocktail dress, statement clutch, and stiletto heels",
2250,20,Female,Glamorous,"Sequin gown, statement earrings, and high heels",
2390,63,Male,Glamorous,"Silk slip dress, faux fur coat, and strappy sandals",
2188,64,Male,Glamorous,"Silk slip dress, faux fur coat, and strappy sandals",
2404,67,Male,Glamorous,"Silk slip dress, faux fur coat, and strappy sandals",
2277,70,Female,Glamorous,"Silk slip dress, faux fur coat, and strappy sandals",
2382,55,Male,Glamorous,"Sequin gown, statement earrings, and high heels",
2204,45,Female,Glamorous,"Sequin gown, statement earrings, and high heels",
2218,22,Female,Glamorous,"Form-fitting cocktail dress, statement clutch, and stiletto heels",
2358,24,Female,Glamorous,"Sequin gown, statement earrings, and high heels",
2144,60,Female,Glamorous,"Sequin gown, statement earrings, and high heels",
2396,45,Female,Glamorous,"Silk slip dress, faux fur coat, and strappy sandals",
2317,23,Female,Glamorous,"Sequin gown, statement earrings, and high heels",
2168,32,Female,Glamorous,"Sequin gown, statement earrings, and high heels",
2391,47,Female,Glamorous,"Silk slip dress, faux fur coat, and strappy sandals",
2179,29,Female,Glamorous,"Sequin gown, statement earrings, and high heels",
2285,56,Female,Glamorous,"Sequin gown, statement earrings, and high heels",
2252,42,Female,Glamorous,"Silk slip dress, faux fur coat, and strappy sandals",
2220,45,Female,Glamorous,"Form-fitting cocktail dress, statement clutch, and stiletto heels",
2246,69,Female,Glamorous,"Form-fitting cocktail dress, statement clutch, and stiletto heels",
2205,28,Male,Glamorous,"Sequin gown, statement earrings, and high heels",
2325,65,Female,Glamorous,"Form-fitting cocktail dress, statement clutch, and stiletto heels",
2390,22,Male,Glamorous,"Silk slip dress, faux fur coat, and strappy sandals",
2159,58,Male,Glamorous,"Form-fitting cocktail dress, statement clutch, and stiletto heels",
2244,45,Female,Glamorous,"Silk slip dress, faux fur coat, and strappy sandals",
2279,45,Female,Glamorous,"Form-fitting cocktail dress, statement clutch, and stiletto heels",
2320,18,Male,Glamorous,"Silk slip dress, faux fur coat, and strappy sandals",
2255,38,Female,Glamorous,"Sequin gown, statement earrings, and high heels",
2227,32,Female,Glamorous,"Silk slip dress, faux fur coat, and strappy sandals",
2177,45,Male,Glamorous,"Form-fitting cocktail dress, statement clutch, and stiletto heels",
2404,56,Male,Glamorous,"Form-fitting cocktail dress, statement clutch, and stiletto heels",
2323,52,Male,Glamorous,"Sequin gown, statement earrings, and high heels",
2153,25,Male,Glamorous,"Form-fitting cocktail dress, statement clutch, and stiletto heels",
2199,64,Female,Glamorous,"Form-fitting cocktail dress, statement clutch, and stiletto heels",
2369,66,Male,Glamorous,"Sequin gown, statement earrings, and high heels",
2183,32,Female,Glamorous,"Form-fitting cocktail dress, statement clutch, and stiletto heels",
2231,25,Female,Glamorous,"Form-fitting cocktail dress, statement clutch, and stiletto heels",
2226,58,Male,Glamorous,"Form-fitting cocktail dress, statement clutch, and stiletto heels",
2356,56,Male,Glamorous,"Form-fitting cocktail dress, statement clutch, and stiletto heels",
2199,23,Male,Glamorous,"Sequin gown, statement earrings, and high heels",
2397,46,Female,Glamorous,"Sequin gown, statement earrings, and high heels",
2208,57,Female,Glamorous,"Silk slip dress, faux fur coat, and strappy sandals",
2265,29,Male,Glamorous,"Silk slip dress, faux fur coat, and strappy sandals",
2347,21,Male,Glamorous,"Form-fitting cocktail dress, statement clutch, and stiletto heels",
2226,44,Female,Glamorous,"Sequin gown, statement earrings, and high heels",
2350,56,Male,Glamorous,"Form-fitting cocktail dress, statement clutch, and stiletto heels",
2203,61,Male,Glamorous,"Silk slip dress, faux fur coat, and strappy sandals",
2199,67,Female,Glamorous,"Silk slip dress, faux fur coat, and strappy sandals",
2143,23,Male,Glamorous,"Silk slip dress, faux fur coat, and strappy sandals",
2236,47,Female,Glamorous,"Sequin gown, statement earrings, and high heels",
2166,62,Male,Glamorous,"Silk slip dress, faux fur coat, and strappy sandals",
2393,42,Male,Glamorous,"Silk slip dress, faux fur coat, and strappy sandals",
2288,20,Male,Glamorous,"Form-fitting cocktail dress, statement clutch, and stiletto heels",
2129,51,Male,Glamorous,"Silk slip dress, faux fur coat, and strappy sandals",
2282,29,Male,Glamorous,"Silk slip dress, faux fur coat, and strappy sandals",
2163,63,Male,Glamorous,"Silk slip dress, faux fur coat, and strappy sandals",
2248,42,Female,Glamorous,"Silk slip dress, faux fur coat, and strappy sandals",
2206,58,Male,Glamorous,"Form-fitting cocktail dress, statement clutch, and stiletto heels",
2111,57,Male,Glamorous,"Sequin gown, statement earrings, and high heels",
2349,73,Female,Glamorous,"Form-fitting cocktail dress, statement clutch, and stiletto heels",
2143,38,Male,Glamorous,"Form-fitting cocktail dress, statement clutch, and stiletto heels",
2387,58,Female,Glamorous,"Form-fitting cocktail dress, statement clutch, and stiletto heels",
2196,24,Male,Glamorous,"Sequin gown, statement earrings, and high heels",
2307,28,Female,Glamorous,"Sequin gown, statement earrings, and high heels",
2305,18,Female,Glamorous,"Silk slip dress, faux fur coat, and strappy sandals",
2355,36,Male,Glamorous,"Silk slip dress, faux fur coat, and strappy sandals",
2274,51,Male,Glamorous,"Form-fitting cocktail dress, statement clutch, and stiletto heels",
2388,18,Male,Glamorous,"Silk slip dress, faux fur coat, and strappy sandals",
2328,24,Male,Glamorous,"Silk slip dress, faux fur coat, and strappy sandals",
2292,56,Female,Glamorous,"Silk slip dress, faux fur coat, and strappy sandals",
2240,65,Female,Glamorous,"Silk slip dress, faux fur coat, and strappy sandals",
2397,22,Female,Glamorous,"Silk slip dress, faux fur coat, and strappy sandals",
2348,62,Male,Glamorous,"Silk slip dress, faux fur coat, and strappy sandals",
2332,25,Female,Glamorous,"Sequin gown, statement earrings, and high heels",
2203,50,Male,Glamorous,"Form-fitting cocktail dress, statement clutch, and stiletto heels",
2212,32,Female,Glamorous,"Sequin gown, statement earrings, and high heels",
2209,44,Female,Glamorous,"Form-fitting cocktail dress, statement clutch, and stiletto heels",
2128,69,Male,Glamorous,"Form-fitting cocktail dress, statement clutch, and stiletto heels",
2378,62,Female,Glamorous,"Form-fitting cocktail dress, statement clutch, and stiletto heels",
2207,23,Male,Glamorous,"Silk slip dress, faux fur coat, and strappy sandals",
2403,43,Female,Glamorous,"Form-fitting cocktail dress, statement clutch, and stiletto heels",
2178,43,Female,Glamorous,"Form-fitting cocktail dress, statement clutch, and stiletto heels",
2371,60,Female,Glamorous,"Sequin gown, statement earrings, and high heels",
2205,24,Female,Glamorous,"Sequin gown, statement earrings, and high heels",
2214,57,Male,Glamorous,"Silk slip dress, faux fur coat, and strappy sandals",
2303,22,Female,Glamorous,"Sequin gown, statement earrings, and high heels",
2241,18,Male,Glamorous,"Silk slip dress, faux fur coat, and strappy sandals",
2340,20,Male,Glamorous,"Silk slip dress, faux fur coat, and strappy sandals",
2120,58,Female,Glamorous,"Sequin gown, statement earrings, and high heels",
2279,24,Male,Glamorous,"Silk slip dress, faux fur coat, and strappy sandals",
2233,40,Female,Glamorous,"Form-fitting cocktail dress, statement clutch, and stiletto heels",
2227,22,Female,Glamorous,"Sequin gown, statement earrings, and high heels",
2161,37,Male,Glamorous,"Sequin gown, statement earrings, and high heels",
2129,42,Female,Glamorous,"Silk slip dress, faux fur coat, and strappy sandals",
2108,23,Female,Glamorous,"Silk slip dress, faux fur coat, and strappy sandals",
2144,69,Male,Glamorous,"Silk slip dress, faux fur coat, and strappy sandals",
2190,54,Male,Glamorous,"Sequin gown, statement earrings, and high heels",
2126,28,Female,Glamorous,"Form-fitting cocktail dress, statement clutch, and stiletto heels",
2398,27,Female,Glamorous,"Sequin gown, statement earrings, and high heels",
2384,58,Male,Glamorous,"Form-fitting cocktail dress, statement clutch, and stiletto heels",
2113,74,Female,Glamorous,"Silk slip dress, faux fur coat, and strappy sandals",
2146,45,Male,Glamorous,"Sequin gown, statement earrings, and high heels",
2291,33,Female,Glamorous,"Silk slip dress, faux fur coat, and strappy sandals",
2403,41,Male,Glamorous,"Silk slip dress, faux fur coat, and strappy sandals",
2203,27,Female,Glamorous,"Sequin gown, statement earrings, and high heels",
2255,23,Male,Glamorous,"Sequin gown, statement earrings, and high heels",
2238,42,Female,Glamorous,"Sequin gown, statement earrings, and high heels",
2209,65,Male,Glamorous,"Silk slip dress, faux fur coat, and strappy sandals",
2306,36,Male,Glamorous,"Form-fitting cocktail dress, statement clutch, and stiletto heels",
2189,20,Female,Glamorous,"Form-fitting cocktail dress, statement clutch, and stiletto heels",
2250,20,Male,Glamorous,"Sequin gown, statement earrings, and high heels",
2124,55,Female,Glamorous,"Form-fitting cocktail dress, statement clutch, and stiletto heels",
2129,27,Male,Glamorous,"Silk slip dress, faux fur coat, and strappy sandals",
2122,51,Male,Glamorous,"Silk slip dress, faux fur coat, and strappy sandals",
2109,20,Male,Glamorous,"Form-fitting cocktail dress, statement clutch, and stiletto heels",
2136,30,Female,Glamorous,"Sequin gown, statement earrings, and high heels",
2227,59,Male,Glamorous,"Form-fitting cocktail dress, statement clutch, and stiletto heels",
2309,28,Male,Glamorous,"Sequin gown, statement earrings, and high heels",
2319,64,Female,Glamorous,"Sequin gown, statement earrings, and high heels",
2209,19,Male,Glamorous,"Sequin gown, statement earrings, and high heels",
2165,55,Male,Glamorous,"Form-fitting cocktail dress, statement clutch, and stiletto heels",
2308,67,Male,Glamorous,"Form-fitting cocktail dress, statement clutch, and stiletto heels",
2289,61,Male,Glamorous,"Silk slip dress, faux fur coat, and strappy sandals",
2184,42,Male,Glamorous,"Form-fitting cocktail dress, statement clutch, and stiletto heels",
2312,46,Female,Glamorous,"Form-fitting cocktail dress, statement clutch, and stiletto heels",
2226,45,Female,Glamorous,"Sequin gown, statement earrings, and high heels",
2175,65,Female,Glamorous,"Sequin gown, statement earrings, and high heels",
2353,22,Female,Glamorous,"Form-fitting cocktail dress, statement clutch, and stiletto heels",
2204,72,Male,Glamorous,"Sequin gown, statement earrings, and high heels",
2241,63,Female,Glamorous,"Silk slip dress, faux fur coat, and strappy sandals",
2390,30,Male,Glamorous,"Sequin gown, statement earrings, and high heels",
2350,66,Female,Glamorous,"Silk slip dress, faux fur coat, and strappy sandals",
2208,50,Male,Glamorous,"Sequin gown, statement earrings, and high heels",
2407,46,Male,Glamorous,"Sequin gown, statement earrings, and high heels",
2137,20,Male,Glamorous,"Silk slip dress, faux fur coat, and strappy sandals",
2355,59,Male,Glamorous,"Form-fitting cocktail dress, statement clutch, and stiletto heels",
2129,45,Female,Glamorous,"Silk slip dress, faux fur coat, and strappy sandals",
2248,73,Male,Glamorous,"Sequin gown, statement earrings, and high heels",
2298,41,Female,Glamorous,"Silk slip dress, faux fur coat, and strappy sandals",
2277,21,Male,Glamorous,"Form-fitting cocktail dress, statement clutch, and stiletto heels",
2190,49,Male,Glamorous,"Form-fitting cocktail dress, statement clutch, and stiletto heels",
2219,23,Male,Glamorous,"Sequin gown, statement earrings, and high heels",
2297,28,Female,Glamorous,"Silk slip dress, faux fur coat, and strappy sandals",
2400,32,Male,Glamorous,"Silk slip dress, faux fur coat, and strappy sandals",
2244,67,Female,Glamorous,"Form-fitting cocktail dress, statement clutch, and stiletto heels",
2176,65,Male,Glamorous,"Form-fitting cocktail dress, statement clutch, and stiletto heels",
2250,27,Female,Glamorous,"Form-fitting cocktail dress, statement clutch, and stiletto heels",
2257,41,Male,Glamorous,"Silk slip dress, faux fur coat, and strappy sandals",
2320,25,Female,Glamorous,"Sequin gown, statement earrings, and high heels",
2205,57,Male,Glamorous,"Form-fitting cocktail dress, statement clutch, and stiletto heels",
2323,44,Female,Glamorous,"Form-fitting cocktail dress, statement clutch, and stiletto heels",
2359,24,Female,Glamorous,"Form-fitting cocktail dress, statement clutch, and stiletto heels",
2202,65,Female,Glamorous,"Silk slip dress, faux fur coat, and strappy sandals",
2194,23,Female,Glamorous,"Silk slip dress, faux fur coat, and strappy sandals",
2287,55,Female,Glamorous,"Form-fitting cocktail dress, statement clutch, and stiletto heels",
2200,53,Male,Glamorous,"Silk slip dress, faux fur coat, and strappy sandals",
2398,65,Male,Glamorous,"Sequin gown, statement earrings, and high heels",
